team,odds,date,site,division,conference,market,result
DAL,275,Sep24,bookmaker,NFC East,NFC,division,
NYG,5000,Sep24,bookmaker,NFC East,NFC,division,
PHI,-225,Sep24,bookmaker,NFC East,NFC,division,
WAS,717,Sep24,bookmaker,NFC East,NFC,division,
ARI,4250,Sep24,bookmaker,NFC West,NFC,conference,
ATL,1873,Sep24,bookmaker,NFC South,NFC,conference,
CAR,30364,Sep24,bookmaker,NFC South,NFC,conference,
CHI,4000,Sep24,bookmaker,NFC North,NFC,conference,
DAL,1003,Sep24,bookmaker,NFC East,NFC,conference,
DET,491,Sep24,bookmaker,NFC North,NFC,conference,
GB,912,Sep24,bookmaker,NFC North,NFC,conference,
LA,3300,Sep24,bookmaker,NFC West,NFC,conference,
MIN,1002,Sep24,bookmaker,NFC North,NFC,conference,
NO,1379,Sep24,bookmaker,NFC South,NFC,conference,
NYG,20243,Sep24,bookmaker,NFC East,NFC,conference,
PHI,476,Sep24,bookmaker,NFC East,NFC,conference,
SF,381,Sep24,bookmaker,NFC West,NFC,conference,
SEA,1451,Sep24,bookmaker,NFC West,NFC,conference,
TB,2256,Sep24,bookmaker,NFC South,NFC,conference,
WAS,3750,Sep24,bookmaker,NFC East,NFC,conference,
BAL,670,Sep24,bookmaker,AFC North,AFC,conference,
BUF,325,Sep24,bookmaker,AFC East,AFC,conference,
CIN,1550,Sep24,bookmaker,AFC North,AFC,conference,
CLE,3800,Sep24,bookmaker,AFC North,AFC,conference,
DEN,15000,Sep24,bookmaker,AFC West,AFC,conference,
HOU,685,Sep24,bookmaker,AFC South,AFC,conference,
IND,5000,Sep24,bookmaker,AFC South,AFC,conference,
JAX,5700,Sep24,bookmaker,AFC South,AFC,conference,
KC,230,Sep24,bookmaker,AFC West,AFC,conference,
LV,7000,Sep24,bookmaker,AFC West,AFC,conference,
LAC,2850,Sep24,bookmaker,AFC West,AFC,conference,
MIA,4000,Sep24,bookmaker,AFC East,AFC,conference,
NE,21500,Sep24,bookmaker,AFC East,AFC,conference,
NYJ,915,Sep24,bookmaker,AFC East,AFC,conference,
PIT,1500,Sep24,bookmaker,AFC North,AFC,conference,
TEN,20000,Sep24,bookmaker,AFC South,AFC,conference,
ARI,8500,Sep24,bookmaker,NFC West,NFC,super bowl,
ATL,4200,Sep24,bookmaker,NFC South,NFC,super bowl,
BAL,1370,Sep24,bookmaker,AFC North,AFC,super bowl,
