game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
2024_01_BAL_KC,2024,REG,1,9/5/24,Thursday,20:20,BAL,,KC,,Home,,,,2024090500,,,202409050kan,,,,7,7,130,-155,3,-112,-108,47.5,-110,-110,0,outdoors,grass,,,,,,,John Harbaugh,Andy Reid,,KAN00,GEHA Field at Arrowhead Stadium
2024_01_GB_PHI,2024,REG,1,9/6/24,Friday,20:15,GB,,PHI,,Neutral,,,,2024090600,,,202409060phi,,,,7,7,105,-125,1,-108,-112,48.5,-110,-110,0,outdoors,grass,,,,,,,Matt LaFleur,Nick Sirianni,,PHI00,Lincoln Financial Field
2024_01_PIT_ATL,2024,REG,1,9/8/24,Sunday,13:00,PIT,,ATL,,Home,,,,2024090800,,,202409080atl,,,,7,7,124,-148,3,-118,-102,43,-110,-110,0,closed,fieldturf,,,,,,,Mike Tomlin,Raheem Morris,,ATL97,Mercedes-Benz Stadium
2024_01_ARI_BUF,2024,REG,1,9/8/24,Sunday,13:00,ARI,,BUF,,Home,,,,2024090801,,,202409080buf,,,,7,7,280,-355,7,100,-120,48,-110,-110,0,outdoors,a_turf,,,,,,,Jonathan Gannon,Sean McDermott,,BUF00,New Era Field
2024_01_TEN_CHI,2024,REG,1,9/8/24,Sunday,13:00,TEN,,CHI,,Home,,,,2024090802,,,202409080chi,,,,7,7,180,-218,4.5,-110,-110,43.5,-110,-110,0,outdoors,grass,,,,,,,Brian Callahan,Matt Eberflus,,CHI98,Soldier Field
2024_01_NE_CIN,2024,REG,1,9/8/24,Sunday,13:00,NE,,CIN,,Home,,,,2024090803,,,202409080cin,,,,7,7,320,-410,9,-110,-110,43,-110,-110,0,outdoors,fieldturf,,,,,,,Jerod Mayo,Zac Taylor,,CIN00,Paycor Stadium
2024_01_HOU_IND,2024,REG,1,9/8/24,Sunday,13:00,HOU,,IND,,Home,,,,2024090804,,,202409080clt,,,,7,7,-122,102,-1.5,-110,-110,48,-112,-108,1,closed,fieldturf,,,,,,,DeMeco Ryans,Shane Steichen,,IND00,Lucas Oil Stadium
2024_01_JAX_MIA,2024,REG,1,9/8/24,Sunday,13:00,JAX,,MIA,,Home,,,,2024090805,,,202409080mia,,,,7,7,150,-180,3.5,-110,-110,49.5,-110,-110,0,outdoors,grass,,,,,,,Doug Pederson,Mike McDaniel,,MIA00,Hard Rock Stadium
2024_01_CAR_NO,2024,REG,1,9/8/24,Sunday,13:00,CAR,,NO,,Home,,,,2024090806,,,202409080nor,,,,7,7,170,-205,5,-112,-108,40.5,-110,-110,1,dome,sportturf,,,,,,,Dave Canales,Dennis Allen,,NOR00,Mercedes-Benz Superdome
2024_01_MIN_NYG,2024,REG,1,9/8/24,Sunday,13:00,MIN,,NYG,,Home,,,,2024090807,,,202409080nyg,,,,7,7,-108,-112,1,-115,-105,41.5,-110,-110,0,outdoors,fieldturf,,,,,,,Kevin O'Connell,Brian Daboll,,NYC01,MetLife Stadium
